url	run_no	elapsed_sec	status
/api/analysis/epv?player_id=12	1	1.442	200
/api/analysis/epv?player_id=12	2	0.004	200
/api/analysis/epv?player_id=12	3	0.003	200
/api/analysis/epv_state_table?player_id=12	1	0.972	200
/api/analysis/epv_state_table?player_id=12	2	0.004	200
/api/analysis/epv_state_table?player_id=12	3	0.004	200
/api/analysis/state_action_values?player_id=12	1	0.978	200
/api/analysis/state_action_values?player_id=12	2	0.005	200
/api/analysis/state_action_values?player_id=12	3	0.004	200
/api/analysis/counterfactual_shots?player_id=12	1	0.884	200
/api/analysis/counterfactual_shots?player_id=12	2	0.003	200
/api/analysis/counterfactual_shots?player_id=12	3	0.003	200
/api/analysis/counterfactual_v2?player_id=12	1	1.359	200
/api/analysis/counterfactual_v2?player_id=12	2	0.004	200
/api/analysis/counterfactual_v2?player_id=12	3	0.003	200
/api/analysis/bayes_matchup?player_id=12	1	0.007	ERR:AttributeError
/api/analysis/bayes_matchup?player_id=12	2	0.006	ERR:AttributeError
/api/analysis/bayes_matchup?player_id=12	3	0.007	ERR:AttributeError
/api/analysis/opponent_policy?player_id=12	1	0.989	200
/api/analysis/opponent_policy?player_id=12	2	0.004	200
/api/analysis/opponent_policy?player_id=12	3	0.003	200
/api/analysis/doubles_role?player_id=12	1	0.055	200
/api/analysis/doubles_role?player_id=12	2	0.004	200
/api/analysis/doubles_role?player_id=12	3	0.003	200
/api/analysis/shot_influence_v2?player_id=12	1	0.888	ERR:KeyError
/api/analysis/shot_influence_v2?player_id=12	2	1.086	ERR:KeyError
/api/analysis/shot_influence_v2?player_id=12	3	1.102	ERR:KeyError
/api/analysis/hazard_fatigue?player_id=12	1	0.082	200
/api/analysis/hazard_fatigue?player_id=12	2	0.005	200
/api/analysis/hazard_fatigue?player_id=12	3	0.004	200
/api/analysis/heatmap?player_id=12&type=hit	1	0.196	200
/api/analysis/heatmap?player_id=12&type=hit	2	0.003	200
/api/analysis/heatmap?player_id=12&type=hit	3	0.003	200
/api/analysis/heatmap?player_id=12&type=land	1	0.041	200
/api/analysis/heatmap?player_id=12&type=land	2	0.003	200
/api/analysis/heatmap?player_id=12&type=land	3	0.003	200
/api/analysis/heatmap/composite?player_id=12	1	0.118	200
/api/analysis/heatmap/composite?player_id=12	2	0.003	200
/api/analysis/heatmap/composite?player_id=12	3	0.002	200
/api/analysis/spatial_density?player_id=12	1	0.233	200
/api/analysis/spatial_density?player_id=12	2	0.004	200
/api/analysis/spatial_density?player_id=12	3	0.003	200
/api/analysis/pre_loss_patterns?player_id=12	1	0.462	200
/api/analysis/pre_loss_patterns?player_id=12	2	0.003	200
/api/analysis/pre_loss_patterns?player_id=12	3	0.003	200
/api/analysis/pre_win_patterns?player_id=12	1	0.633	200
/api/analysis/pre_win_patterns?player_id=12	2	0.003	200
/api/analysis/pre_win_patterns?player_id=12	3	0.002	200
/api/analysis/effective_distribution_map?player_id=12	1	1.246	200
/api/analysis/effective_distribution_map?player_id=12	2	0.003	200
/api/analysis/effective_distribution_map?player_id=12	3	0.002	200
/api/analysis/received_vulnerability_map?player_id=12	1	0.006	404
/api/analysis/received_vulnerability_map?player_id=12	2	0.005	404
/api/analysis/received_vulnerability_map?player_id=12	3	0.005	404
/api/analysis/score_progression?player_id=12	1	0.005	422
/api/analysis/score_progression?player_id=12	2	0.008	422
/api/analysis/score_progression?player_id=12	3	0.006	422
/api/analysis/set_comparison?player_id=12	1	0.073	200
/api/analysis/set_comparison?player_id=12	2	0.004	200
/api/analysis/set_comparison?player_id=12	3	0.003	200
/api/analysis/rally_sequence_patterns?player_id=12	1	0.959	200
/api/analysis/rally_sequence_patterns?player_id=12	2	0.005	200
/api/analysis/rally_sequence_patterns?player_id=12	3	0.004	200